11745933,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86773.00,1288.98,-43.82,-31.00,-16.94,10.20,0.78,0.78,0,0,0,0,0,0,0
11746028,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86789.00,1287.28,-43.27,-33.00,-21.43,10.20,0.63,0.51,0,0,0,0,0,0,0
11746129,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86796.00,1287.47,-43.36,-32.55,-21.53,10.16,0.71,0.86,0,0,0,0,0,0,0
11746303,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86763.00,1289.45,-43.73,-31.00,-17.14,10.20,0.71,0.78,0,0,0,0,0,0,0
11746388,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86782.00,1287.00,-43.27,-32.64,-21.73,10.12,0.71,0.78,0,0,0,0,0,0,0
11746477,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86796.00,1286.43,-43.00,-32.64,-21.73,10.16,0.71,0.82,0,0,0,0,0,0,0
11746650,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86756.00,1288.98,-43.82,-31.18,-16.94,10.20,0.67,0.86,0,0,0,0,0,0,0
11746735,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86770.00,1287.09,-43.45,-32.55,-21.43,10.12,0.75,0.71,0,0,0,0,0,0,0
11746820,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86781.00,1286.90,-43.18,-32.91,-21.73,10.16,0.71,0.75,0,0,0,0,0,0,0
11746996,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86758.00,1290.11,-43.73,-31.09,-16.63,10.20,0.78,0.82,0,0,0,0,0,0,0
11747080,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86770.00,1287.94,-43.55,-32.82,-21.53,10.12,0.59,0.86,0,0,0,0,0,0,0
11747165,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86792.00,1287.66,-43.27,-32.73,-21.94,10.08,0.75,0.78,0,0,0,0,0,0,0
11747339,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86759.00,1289.55,-44.00,-31.00,-17.14,10.20,0.59,0.71,0,0,0,0,0,0,0
11747426,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86777.00,1286.72,-43.18,-32.55,-22.14,10.16,0.67,0.86,0,0,0,0,0,0,0
11747511,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86792.00,1287.00,-43.09,-32.73,-21.43,10.12,0.71,0.75,0,0,0,0,0,0,0
11747684,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86766.00,1289.55,-43.73,-31.18,-16.94,10.24,0.71,0.78,0,0,0,0,0,0,0
11747769,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86776.00,1287.47,-43.82,-31.18,-16.73,10.16,0.78,0.82,0,0,0,0,0,0,0
11747856,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86793.00,1287.28,-43.18,-32.64,-21.73,10.16,0.67,0.75,0,0,0,0,0,0,0
11748029,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86757.00,1290.02,-43.73,-31.18,-17.24,10.32,0.55,0.75,0,0,0,0,0,0,0
11748114,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86766.00,1287.56,-43.27,-32.64,-21.53,10.20,0.67,0.82,0,0,0,0,0,0,0
11748199,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86786.00,1287.09,-43.18,-32.64,-21.73,10.16,0.78,0.82,0,0,0,0,0,0,0
11748375,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86768.00,1288.70,-44.00,-31.00,-17.14,10.16,0.71,0.78,0,0,0,0,0,0,0
11748460,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86773.00,1287.00,-43.27,-32.91,-21.53,10.20,0.67,0.78,0,0,0,0,0,0,0
11748545,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86791.00,1287.28,-43.36,-32.73,-21.73,10.24,0.55,0.59,0,0,0,0,0,0,0
11748718,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86767.00,1289.26,-43.82,-31.27,-17.14,10.20,0.71,0.78,0,0,0,0,0,0,0
11748803,38.80,-109.94,1372.00,43.00,0.31,10,82,40.20,86776.00,1286.72,-43.45,-32.82,-21.43,10.04,0.90,0.75,0,0,0,0,0,0,0
11748890,38.80,-109.94,1372.00,43.00,0.31,10,82,40.30,86790.00,1286.90,-43.27,-32.82,-21.53,10.16,0.67,0.75,0,0,0,0,0,0,0
11749063,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86762.00,1289.64,-43.64,-31.36,-17.14,10.16,0.67,0.82,0,0,0,0,0,0,0
11749148,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86773.00,1287.09,-43.27,-32.55,-22.04,10.20,0.63,0.75,0,0,0,0,0,0,0
11749233,38.80,-109.94,1372.00,47.00,0.31,10,82,40.30,86786.00,1287.28,-43.55,-32.64,-21.63,10.16,0.71,0.78,0,0,0,0,0,0,0
11749409,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86768.00,1289.26,-43.82,-31.18,-17.04,10.20,0.75,0.78,0,0,0,0,0,0,0
11749494,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86777.00,1287.00,-43.27,-32.82,-21.94,10.08,0.78,0.75,0,0,0,0,0,0,0
11749578,38.80,-109.94,1372.00,47.00,0.31,10,82,40.30,86794.00,1286.90,-43.36,-33.09,-21.43,10.16,0.75,0.78,0,0,0,0,0,0,0
11749752,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86759.00,1290.02,-43.82,-31.18,-16.84,10.20,0.67,0.59,0,0,0,0,0,0,0
11749839,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86777.00,1287.56,-43.09,-32.82,-21.43,10.20,0.78,0.75,0,0,0,0,0,0,0
11749923,38.80,-109.94,1372.00,47.00,0.31,10,82,40.30,86791.00,1287.09,-43.18,-32.82,-21.53,10.20,0.63,0.75,0,0,0,0,0,0,0
11750097,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86761.00,1290.30,-43.91,-31.09,-17.35,10.20,0.63,0.86,0,0,0,0,0,0,0
11750182,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86764.00,1286.90,-43.36,-32.64,-21.43,10.16,0.67,0.78,0,0,0,0,0,0,0
11750269,38.80,-109.94,1372.00,47.00,0.31,10,82,40.30,86782.00,1287.09,-43.09,-32.91,-21.33,10.16,0.67,0.71,0,0,0,0,0,0,0
11750442,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86765.00,1289.83,-43.82,-31.09,-16.84,10.16,0.67,0.75,0,0,0,0,0,0,0
11750527,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86774.00,1286.90,-43.45,-32.82,-21.73,10.20,0.71,0.71,0,0,0,0,0,0,0
11750612,38.80,-109.94,1372.00,47.00,0.31,10,82,40.30,86787.00,1286.81,-43.00,-32.73,-21.53,10.20,0.82,0.75,0,0,0,0,0,0,0
11750788,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86760.00,1291.25,-43.91,-31.18,-16.94,10.24,0.63,0.86,0,0,0,0,0,0,0
11750872,38.80,-109.94,1372.00,47.00,0.31,10,82,40.20,86770.00,1287.85,-43.18,-32.64,-21.73,10.16,0.67,0.78,0,0,0,0,0,0,0
11750957,38.80,-109.94,1372.00,47.00,0.31,10,82,40.30,86792.00,1287.09,-43.27,-32.73,-21.53,10.16,0.55,0.86,0,0,0,0,0,0,0
11751131,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86760.00,1289.45,-43.73,-31.27,-16.94,10.20,0.67,0.82,0,0,0,0,0,0,0
11751218,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86783.00,1287.09,-43.27,-32.55,-21.63,10.20,0.75,0.78,0,0,0,0,0,0,0
11751303,38.80,-109.94,1372.00,49.00,0.31,10,82,40.30,86790.00,1286.81,-43.18,-32.82,-21.43,10.16,0.78,0.75,0,0,0,0,0,0,0
11751476,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86757.00,1289.55,-44.09,-31.45,-17.24,10.24,0.78,0.78,0,0,0,0,0,0,0
11751561,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86774.00,1286.72,-43.18,-32.73,-21.53,10.16,0.71,0.86,0,0,0,0,0,0,0
11751648,38.80,-109.94,1372.00,49.00,0.31,10,82,40.30,86789.00,1287.28,-43.09,-32.45,-21.73,10.16,0.71,0.71,0,0,0,0,0,0,0
11751822,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86756.00,1290.30,-43.64,-31.18,-17.04,10.20,0.67,0.78,0,0,0,0,0,0,0
11751906,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86774.00,1287.85,-43.36,-32.55,-21.84,10.12,0.59,0.86,0,0,0,0,0,0,0
11751991,38.80,-109.94,1372.00,49.00,0.31,10,82,40.30,86792.00,1287.38,-43.09,-32.64,-21.94,10.16,0.71,0.78,0,0,0,0,0,0,0
11752167,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86756.00,1290.30,-43.82,-31.18,-16.94,10.28,0.63,0.75,0,0,0,0,0,0,0
11752252,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86770.00,1287.28,-43.82,-31.09,-16.84,10.16,0.75,0.78,0,0,0,0,0,0,0
11752336,38.80,-109.94,1372.00,49.00,0.31,10,82,40.30,86790.00,1288.04,-43.55,-32.82,-21.63,10.12,0.75,0.78,0,0,0,0,0,0,0
11752510,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86754.00,1290.02,-43.91,-31.36,-17.24,10.16,0.75,0.82,0,0,0,0,0,0,0
11752597,38.80,-109.94,1372.00,49.00,0.31,10,82,40.20,86780.00,1287.38,-43.45,-32.91,-21.63,10.24,0.71,0.78,0,0,0,0,0,0,0
11752682,38.80,-109.94,1372.00,49.00,0.31,10,82,40.30,86790.00,1287.28,-43.18,-32.64,-21.43,10.12,0.78,0.78,0,0,0,0,0,0,0
