dt, Acceleration, Pressure, Their Altitude, Our Altitude, DES
0.017600,75.860000,85970.000000,1367.92,1354.924092,0
0.008400,75.630000,85871.000000,1376.87,1362.392024,0
0.008500,75.430000,85786.000000,1384.20,1369.845337,0
0.017400,73.820000,85601.000000,1403.18,1379.531722,0
0.008700,72.770000,85510.000000,1412.16,1388.390137,0
0.008400,73.240000,85416.000000,1421.43,1397.221550,0
0.017400,71.270000,85190.000000,1443.36,1408.789885,0
0.008500,70.410000,85091.000000,1453.04,1419.318738,0
0.008400,69.470000,84984.000000,1463.70,1429.542622,0
0.017200,67.590000,84722.000000,1488.22,1443.150372,0
0.008500,67.310000,84612.000000,1499.01,1455.443536,0
0.008400,66.880000,84490.000000,1511.54,1467.451032,0
0.017400,64.960000,84214.000000,1538.41,1482.788136,0
0.008700,64.650000,84086.000000,1550.31,1496.797886,0
0.008500,63.390000,83960.000000,1563.79,1510.137211,0
0.017300,62.410000,83634.000000,1594.97,1527.801248,0
0.008500,61.040000,83504.000000,1607.15,1543.398169,0
0.008700,60.370000,83355.000000,1622.06,1558.730154,0
0.017400,58.600000,83009.000000,1656.27,1578.231524,0
0.008400,57.270000,82872.000000,1669.20,1595.519170,0
0.008500,56.170000,82711.000000,1684.90,1612.307152,0
0.017600,56.130000,82312.000000,1727.20,1634.475713,0
0.008500,54.880000,82135.000000,1740.62,1654.462052,0
0.008400,52.680000,81995.000000,1757.02,1672.933242,0
0.017400,53.620000,81597.000000,1795.86,1696.638794,0
0.008700,36.990000,81432.000000,1811.76,1715.833685,0
0.008500,22.790000,81255.000000,1829.77,1734.359706,0
0.017300,10.430000,80859.000000,1870.40,1756.876160,0
0.008500,5.810000,80668.000000,1888.92,1777.960415,0
0.008700,2.080000,80471.000000,1910.38,1798.229010,0
0.017300,-4.510000,80045.000000,1950.94,1823.647946,0
0.008400,-7.570000,79866.000000,1970.21,1846.431492,0
0.008500,-8.240000,79668.000000,1990.03,1868.658322,0
0.017700,-8.750000,79220.000000,2035.69,1896.552648,0
0.008500,-8.430000,79043.000000,2052.28,1921.381601,0
0.008400,-8.390000,78880.000000,2070.22,1944.442871,0
